name,field,subcategory,mbti
Valtteri Bottas,Sports,Autosport,ISTP
Vampeta,Sports,Football,ESTP
Vanessa Demopoulos,Sports,MMA,ESFP
Vanessa Ferrari,Sports,Gymnastics,ISTJ
Vanessa Huppenkothen,Entertainment,"Hosts, Analysts & Commentators",ESFP
Vasily Kamotsky,Sports,Other Talented Individuals,ISFJ
Vaslav Nijinsky,Sports,Other Talented Individuals,INFP
Vassily Ivanchuk,Sports,Chess,ENFP
Vasyl Lomachenko,Sports,Boxing,ISTP
Venus Williams,Sports,Tennis,INFP
Vernon Davis,Sports,Football,ISFJ
Veronica Ivy,Sports,Cycling,ESTJ
Veselin Topalov,Sports,Chess,INTP
Vicente del Bosque,Sports,Football,INFJ
Victor,Sports,Football,ESTP
Victor Cruz,Sports,Football,ESFJ
Victor Lelis,Sports,Bodybuilding,ESFJ
Victor Martinez,Sports,Baseball,ISTJ
Victor Oladipo,Sports,Basketball,ISFP
Victor Osimhen,Sports,Football,ENTP
Victor Robles,Sports,Baseball,ISFP
Victor Wembanyama,Sports,Basketball,ENFJ
Victoria Azarenka,Sports,Tennis,ESTP
Victoria Garrick,Sports,Volleyball,ESFJ
Victoria Sinitsina,Sports,Ice skating,ISTJ
Viddal Riley,Sports,Boxing,ENTJ
Vidit Gujrathi,Sports,Chess,ISTP
Viktor Blom,Sports,Poker,INFP
Viktor Pešta,Sports,MMA,ISTP
Viktoria Komova,Sports,Gymnastics,ISFJ
Vince Carter,Sports,Basketball,ESTP
Vince Lombardi,Sports,Football,ENTJ
Vince McMahon,Sports,Wrestling,ENTJ
Vince Russo,Sports,Wrestling,ENTP
Vincent Jackson,Sports,Football,ESFJ
Vincent Janssen,Sports,Football,ENFJ
Vincent Zhou,Sports,Ice skating,INFP
Vinícius Júnior,Sports,Football,ESFP
Vinny Testaverde,Sports,Football,ISTJ
Viola (footballer),Sports,Football,ENTJ
Virat Kohli,Sports,Cricket,ESTP
Virgil van Dijk,Sports,Football,ESTJ
Viswanathan Anand,Sports,Chess,INTJ
Vitalii Klytchko,Sports,Boxing,ENFJ
Vitor Belfort,Sports,MMA,ESTP
Vítor Pereira,Sports,Football,ENTJ
Vivi Winkler,Sports,Bodybuilding,ESFP
Vivianne Miedema,Sports,Football,ISTP
Vlade Divac,Sports,Basketball,INTJ
Vladimir Guerrero Jr.,Sports,Baseball,ESFP
Vladimir Guerrero Sr.,Sports,Baseball,ISTP
Vladimir Kramnik,Sports,Chess,INFJ
Volkan Demirel,Sports,Football,ISTP
Von Miller,Sports,Football,ESFP
Voria Ghafouri,Sports,Football,INFJ
Wade Davis,Sports,Baseball,ISTJ
Walid Cheddira,Sports,Football,INFP
Walid Regragui,Sports,Football,ENFJ
"Walt ""Clyde"" Frazier",Entertainment,"Hosts, Analysts & Commentators",ENFP
Walter Johnson,Sports,Baseball,ISFJ
Wander Franco,Sports,Baseball,ISFP
Wanderlei Silva,Sports,MMA,ESFP
Wanderley Luxemburgo,Sports,Football,ENTJ
Wang Hao,Sports,Table Tennis,ISFP
Wang Liqin,Sports,Table Tennis,ISTJ
Wang Nan,Sports,Table Tennis,ESFJ
"Wang Zi-Ping, Wushu Grandmaster",Sports,Martial Arts,ISFJ
Wardlow,Sports,Wrestling,ISTJ
Warren Sapp,Sports,Football,ESFP
Wasim Akram,Sports,Cricket,ESFJ
Wayne Gallman Jr.,Sports,Football,ISFJ
Wayne Gretzky,Sports,Hockey,ISTP
Wayne Rooney,Sports,Football,ISTP
Wayne Simmonds,Sports,Hockey,ENFJ
Wes Welker,Sports,Football,ENTJ
Wesley Gimenez (Krav Maga Caveira),Sports,Martial Arts,ESTP
Wesley Sneijder,Sports,Football,ISTP
Wesley So,Sports,Chess,ISFJ
Wesley Woodyard,Sports,Football,ESFJ
Weston McKennie,Sports,Football,ESFP
Whitey Ford,Sports,Baseball,ISTP
Whitney Bjerken,Sports,Gymnastics,ESFJ
Whitney Mercilus,Sports,Football,ESFJ
Wil Myers,Sports,Baseball,ISFP
Wilfredo Léon,Sports,Volleyball,INTP
Wilfried Zaha,Sports,Football,ISTP
Wilhelm Steinitz,Sports,Chess,INTP
Will Fuller V,Sports,Football,ESFP
"William ""Refrigerator"" Perry",Sports,Football,ISFJ
William Regal,Sports,Wrestling,ESTJ
Willian Arão,Sports,Football,ENFP
Willie Mays,Sports,Baseball,ISTP
Willson Contreras,Sports,Baseball,ISFP
Wilt Chamberlain,Sports,Basketball,ISFP
Wissam Ben Yedder,Sports,Football,ENFP
Wladimir,Sports,Football,ENFP
Wladimir Klitschko,Sports,Boxing,ISFJ
Wojciech Szczesny,Sports,Football,ENTP
Wout Weghorst,Sports,Football,ESTP
Xabi Alonso,Sports,Football,ENTJ
Xander Bogaerts,Sports,Baseball,ISFJ
Xavi Hernández ,Sports,Football,ISTJ
Xavier Rhodes,Sports,Football,ISFJ
Xavier Woods,Sports,Wrestling,ESFP
Xavier Woods,Sports,Football,ESFP
Xu Xiaodong,Sports,MMA,ESFP
Xu Xin,Sports,Table Tennis,ESTP
Yacine Brahimi,Sports,Football,ISTP
Yadier Molina,Sports,Baseball,ESTJ
Yahya Golmohammadi,Sports,Football,INTJ
Yair Rodríguez,Sports,MMA,ESFP
Yalçın Koşukavak,Sports,Football,INTP
Yana Kudryavtseva,Sports,Gymnastics,ISTJ
Yandy Diaz,Sports,Baseball,ISFP
Yannick Ngakoue,Sports,Football,ISTJ
Yao Ming,Sports,Basketball,ENFP
Yaroslava Mahuchikh,Sports,Track & Field,ENFP
Yasiel Puig,Sports,Baseball,ESFP
Yasmani Grandal,Sports,Baseball,ISTJ
Yasser Seirawan,Sports,Chess,ESFJ
Yassine Bounou,Sports,Football,ENFJ
Yaya Toure,Sports,Football,INFP
Yermin Mercedes,Sports,Baseball,ESFP
Yoan Moncada,Sports,Baseball,ISFP
Yoel Romero,Sports,MMA,ESFP
Yoelqui Céspedes,Sports,Baseball,ISFP
Yoenis Céspedes,Sports,Baseball,ISFP
Yogi Berra,Sports,Baseball,ISTP
Yohan Blake,Sports,Track & Field,ESTP
Yokozuna,Sports,Wrestling,ESTJ
Yordan Alvarez,Sports,Baseball,ISFP
Yoshihiro Akiyama/Choo Sung-Hoon,Sports,Martial Arts,ESTJ
You Young,Sports,Ice skating,ESTP
youcef atal,Sports,Football,ISFP
youcef belaili,Sports,Football,ESFJ
